n_samples,n_colorings,seed,triangle_count,four_cycle_count,diamond_count,k4_count,tailed_triangle_count,five_cycle_count
100000,16,17,566,632,268,14,11056,700
100000,16,18,566,650,249,14,10592,682
100000,16,19,566,632,256,20,11223,676
100000,32,0,566,617,264,16,10947,673
100000,32,1,566,657,262,11,11050,676
100000,32,2,566,644,255,17,11003,719
100000,32,3,566,627,248,11,10888,688
100000,32,4,566,658,257,10,10904,654
100000,32,5,566,622,247,20,10873,649
100000,32,6,566,638,256,11,10892,640
100000,32,7,566,612,254,18,11185,682
100000,32,8,566,631,286,13,11116,663
100000,32,9,566,634,259,13,11364,665
100000,32,10,566,618,253,12,10537,673
100000,32,11,566,645,269,13,11317,699
100000,32,12,566,635,263,14,10822,690
100000,32,13,566,647,258,17,11156,703
100000,32,14,566,619,237,16,10875,712
100000,32,15,566,661,253,14,10984,654
100000,32,16,566,657,279,15,11205,695
100000,32,17,566,631,264,16,11056,700
100000,32,18,566,648,276,16,11087,696
100000,32,19,566,642,255,18,11117,715
